"URXDMN.Code.or.Value","URXDMN.Value.Description","URXDMN.Count","URXDMN.Cumulative","URXDMN.Skip.to.Item"
"11.08 to 13600000","Range of Values",2241,2241,NA
".","Missing",364,2605,NA
