"DXXOSBMC.Code.or.Value","DXXOSBMC.Value.Description","DXXOSBMC.Count","DXXOSBMC.Cumulative","DXXOSBMC.Skip.to.Item"
"10.19 to 132.18","Range of Values",1274,1274,NA
".","Missing",1624,2898,NA
