"RFXC051.Code.or.Value","RFXC051.Value.Description","RFXC051.Count","RFXC051.Cumulative","RFXC051.Skip.to.Item"
"-8.174 to 5.268","Range of Values",33702,33702,NA
".","Missing",19,33721,NA
