"LB2RSTSI.Code.or.Value","LB2RSTSI.Value.Description","LB2RSTSI.Count","LB2RSTSI.Cumulative","LB2RSTSI.Skip.to.Item"
"0.012 to 0.283","Range of Values",535,535,NA
".","Missing",16,551,NA
