"RFXT108.Code.or.Value","RFXT108.Value.Description","RFXT108.Count","RFXT108.Cumulative","RFXT108.Skip.to.Item"
"937 to 946","Range of Values",33691,33691,NA
".","Missing",30,33721,NA
