"DEQ6FHOT.Code.or.Value","DEQ6FHOT.Value.Description","DEQ6FHOT.Count","DEQ6FHOT.Cumulative","DEQ6FHOT.Skip.to.Item"
"1","Present",0,0,NA
".","Missing",2992,2992,NA
