"WBXF037.Code.or.Value","WBXF037.Value.Description","WBXF037.Count","WBXF037.Cumulative","WBXF037.Skip.to.Item"
"1059.4631 to 1059.4631","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
