"LBAVOCSD.Code.or.Value","LBAVOCSD.Value.Description","LBAVOCSD.Count","LBAVOCSD.Cumulative","LBAVOCSD.Skip.to.Item"
"2049 to 11421.42","Range of Values",661,661,NA
".","Missing",190,851,NA
