"FFQ0066A.Code.or.Value","FFQ0066A.Value.Description","FFQ0066A.Count","FFQ0066A.Cumulative","FFQ0066A.Skip.to.Item"
1,"Almost never or never",926,926,NA
2,"About 1/4 of the time",713,1639,NA
3,"About 1/2 of the time",993,2632,NA
4,"About 3/4 of the time",562,3194,NA
5,"Almost always or always",1915,5109,NA
88,"Blank",903,6012,NA
99,"Error",1,6013,NA
