"OSQ120e.Code.or.Value","OSQ120e.Value.Description","OSQ120e.Count","OSQ120e.Cumulative","OSQ120e.Skip.to.Item"
"1","Yes",23,23,""
"2","No",2,25,"OSQ060"
"7","Refused",1,26,"OSQ060"
"9","Don't know",0,26,"OSQ060"
".","Missing",3043,3069,""
