"WBXP006.Code.or.Value","WBXP006.Value.Description","WBXP006.Count","WBXP006.Cumulative","WBXP006.Skip.to.Item"
"-41.3417 to 148.6071","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
