"WTFAS2YR.Code.or.Value","WTFAS2YR.Value.Description","WTFAS2YR.Count","WTFAS2YR.Cumulative","WTFAS2YR.Skip.to.Item"
"3772.844478 to 521033.37059","Range of Values",5246,5246,NA
"0","Participants 12+ years with no lab specimen",397,5643,NA
".","Missing",0,5643,NA
