"OPDDSID.Code.or.Value","OPDDSID.Value.Description","OPDDSID.Count","OPDDSID.Cumulative","OPDDSID.Skip.to.Item"
"0","No",2919,2919,NA
"1","Yes",147,3066,NA
".","Missing",797,3863,NA
