"WTSPP13.Code.or.Value","WTSPP13.Value.Description","WTSPP13.Count","WTSPP13.Cumulative","WTSPP13.Skip.to.Item"
"0 to 829292.52037","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
