"KIQ240.Code.or.Value","KIQ240.Value.Description","KIQ240.Count","KIQ240.Cumulative","KIQ240.Skip.to.Item"
"1","Yes",110,110,""
"2","No",230,340,"KIQ300"
"7","Refused",0,340,"KIQ300"
"9","Don't know",3,343,"KIQ300"
".","Missing",4537,4880,""
