"LBXSF5SI.Code.or.Value","LBXSF5SI.Value.Description","LBXSF5SI.Count","LBXSF5SI.Cumulative","LBXSF5SI.Skip.to.Item"
"0.141 to 43.7","Range of Values",4571,4571,NA
".","Missing",521,5092,NA
