"WTSAU40.Code.or.Value","WTSAU40.Value.Description","WTSAU40.Count","WTSAU40.Cumulative","WTSAU40.Skip.to.Item"
"0 to 479157.29418","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
