"LBXGHCLA.Code.or.Value","LBXGHCLA.Value.Description","LBXGHCLA.Count","LBXGHCLA.Cumulative","LBXGHCLA.Skip.to.Item"
"0.3536 to 304","Range of Values",1960,1960,NA
".","Missing",377,2337,NA
