"MCQ245A.Code.or.Value","MCQ245A.Value.Description","MCQ245A.Count","MCQ245A.Cumulative","MCQ245A.Skip.to.Item"
"1","Enter number",3900,3900,NA
"2","Does not work",2646,6546,NA
"7","Refused",0,6546,NA
"9","Don't know",0,6546,NA
".","Missing",3120,9666,NA
