"LBDVC6LC.Code.or.Value","LBDVC6LC.Value.Description","LBDVC6LC.Count","LBDVC6LC.Cumulative","LBDVC6LC.Skip.to.Item"
"0","At or above detection limit",22,22,NA
"1","Below lower detection limit",2816,2838,NA
".","Missing",334,3172,NA
