"LBX149.Code.or.Value","LBX149.Value.Description","LBX149.Count","LBX149.Cumulative","LBX149.Skip.to.Item"
"0.0004 to 0.1377","Range of Values",1873,1873,NA
".","Missing",412,2285,NA
