"LBXSUA.Code.or.Value","LBXSUA.Value.Description","LBXSUA.Count","LBXSUA.Cumulative","LBXSUA.Skip.to.Item"
"0.8 to 15.1","Range of Values",5901,5901,NA
".","Missing",500,6401,NA
