"SSII4NCM.Code.or.Value","SSII4NCM.Value.Description","SSII4NCM.Count","SSII4NCM.Cumulative","SSII4NCM.Skip.to.Item"
"0 to 100000","Range of Values",995,995,NA
".","Missing",41,1036,NA
