"WBXP041.Code.or.Value","WBXP041.Value.Description","WBXP041.Count","WBXP041.Cumulative","WBXP041.Skip.to.Item"
"-65.5197 to 177.0552","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
