"VTQ230A.Code.or.Value","VTQ230A.Value.Description","VTQ230A.Count","VTQ230A.Cumulative","VTQ230A.Skip.to.Item"
"1","Yes",1106,1106,NA
"2","No",1474,2580,NA
"7","Refused",0,2580,NA
"9","Don't know",9,2589,NA
".","Missing",705,3294,NA
