"WTSHM08.Code.or.Value","WTSHM08.Value.Description","WTSHM08.Count","WTSHM08.Cumulative","WTSHM08.Skip.to.Item"
"0.0000000 to 748354.6263100","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
