"URDETLLC.Code.or.Value","URDETLLC.Value.Description","URDETLLC.Count","URDETLLC.Cumulative","URDETLLC.Skip.to.Item"
"0","At or above the detection limit;",2792,2792,NA
"1","Below the lower detection limit;",0,2792,NA
".","Missing",149,2941,NA
