"LBXVD2MS.Code.or.Value","LBXVD2MS.Value.Description","LBXVD2MS.Count","LBXVD2MS.Cumulative","LBXVD2MS.Skip.to.Item"
"1.45 to 203","Range of Values",7409,7409,NA
".","Missing",957,8366,NA
