"URDUA3LC.Code.or.Value","URDUA3LC.Value.Description","URDUA3LC.Count","URDUA3LC.Cumulative","URDUA3LC.Skip.to.Item"
"0","At or above the detection limit",1041,1041,NA
"1","Below lower detection limit",1784,2825,NA
".","Missing",154,2979,NA
