"OHD02LAM.Code.or.Value","OHD02LAM.Value.Description","OHD02LAM.Count","OHD02LAM.Cumulative","OHD02LAM.Skip.to.Item"
"0 to 12","Range of Values",2012,2012,NA
"99","Calculation cannot be determined",502,2514,NA
".","Missing",4204,6718,NA
