"DX2STFAT.Code.or.Value","DX2STFAT.Value.Description","DX2STFAT.Count","DX2STFAT.Cumulative","DX2STFAT.Skip.to.Item"
"5639.6 to 55012.2","Range of Values",414,414,NA
".","Missing",71,485,NA
