"BAQ020A.Code.or.Value","BAQ020A.Value.Description","BAQ020A.Count","BAQ020A.Cumulative","BAQ020A.Skip.to.Item"
"1","Yes",663,663,"BAQ030a"
"2","No",249,912,""
"7","Refused",0,912,""
"9","Don't know",0,912,""
".","Missing",2387,3299,""
