"LBXHGB.Code.or.Value","LBXHGB.Value.Description","LBXHGB.Count","LBXHGB.Cumulative","LBXHGB.Skip.to.Item"
"6.4 to 19.9","Range of Values",7528,7528,NA
".","Missing",838,8366,NA
