"DBD222A.Code.or.Value","DBD222A.Value.Description","DBD222A.Count","DBD222A.Cumulative","DBD222A.Skip.to.Item"
"10","Whole or regular,",3289,3289,NA
"77","Refused",0,3289,NA
"99","Don't know",4,3293,NA
".","Missing",6856,10149,NA
