"SSGI1ODM.Code.or.Value","SSGI1ODM.Value.Description","SSGI1ODM.Count","SSGI1ODM.Cumulative","SSGI1ODM.Skip.to.Item"
"0 to 3.5","Range of Values",1035,1035,NA
".","Missing",1,1036,NA
