"LB2RU.Code.or.Value","LB2RU.Value.Description","LB2RU.Count","LB2RU.Cumulative","LB2RU.Skip.to.Item"
"0.01 to 19.3","Range of Values",375,375,NA
".","Missing",0,375,NA
