"CIQP72.Code.or.Value","CIQP72.Value.Description","CIQP72.Count","CIQP72.Cumulative","CIQP72.Skip.to.Item"
"0 to 28","Range of Values",21,21,NA
"77","Refused",0,21,NA
"99","Don't know",0,21,NA
".","Missing",829,850,NA
