"LBXF07.Code.or.Value","LBXF07.Value.Description","LBXF07.Count","LBXF07.Cumulative","LBXF07.Skip.to.Item"
"5.37 to 115.4","Range of Values",1866,1866,NA
".","Missing",419,2285,NA
