"URDSCNLC.Code.or.Value","URDSCNLC.Value.Description","URDSCNLC.Count","URDSCNLC.Cumulative","URDSCNLC.Skip.to.Item"
"0","At or above the detection limit",2746,2746,NA
"1","Below lower detection limit",3,2749,NA
".","Missing",230,2979,NA
