"DR2IP182.Code.or.Value","DR2IP182.Value.Description","DR2IP182.Count","DR2IP182.Cumulative","DR2IP182.Skip.to.Item"
"0 to 78.692","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
