"RFXC090.Code.or.Value","RFXC090.Value.Description","RFXC090.Count","RFXC090.Cumulative","RFXC090.Skip.to.Item"
"-7.524 to 5.473","Range of Values",33694,33694,NA
".","Missing",27,33721,NA
