"CBQ580.Code.or.Value","CBQ580.Value.Description","CBQ580.Count","CBQ580.Cumulative","CBQ580.Skip.to.Item"
"1","Yes",1366,1366,""
"2","No",3816,5182,"CBQ590"
"7","Refused",1,5183,"CBQ590"
"9","Don't know",71,5254,"CBQ590"
".","Missing",4717,9971,""
