"LB2SUA.Code.or.Value","LB2SUA.Value.Description","LB2SUA.Count","LB2SUA.Cumulative","LB2SUA.Skip.to.Item"
"1.5 to 10.7","Range of Values",544,544,NA
".","Missing",2,546,NA
