"WTSPH41.Code.or.Value","WTSPH41.Value.Description","WTSPH41.Count","WTSPH41.Cumulative","WTSPH41.Skip.to.Item"
"0 to 811402.56065","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
