"AUXR1K2R.Code.or.Value","AUXR1K2R.Value.Description","AUXR1K2R.Count","AUXR1K2R.Cumulative","AUXR1K2R.Skip.to.Item"
"30 to 90","Range of Values",2,2,NA
"666","No response",0,2,NA
"888","Could not obtain",0,2,NA
".","Missing",3129,3131,NA
