"AUXU6KL.Code.or.Value","AUXU6KL.Value.Description","AUXU6KL.Count","AUXU6KL.Cumulative","AUXU6KL.Skip.to.Item"
"-10 to 105","Range of Values",2541,2541,NA
"666","No response",50,2591,NA
"888","Could not obtain",286,2877,NA
".","Missing",254,3131,NA
