"DUQ120.Code.or.Value","DUQ120.Value.Description","DUQ120.Count","DUQ120.Cumulative","DUQ120.Skip.to.Item"
"1","Yes",49,49,""
"2","No",497,546,"End of Section"
"7","Refused",1,547,"End of Section"
"9","Don't know",1,548,"End of Section"
".","Missing",2444,2992,""
