"OSD030cj.Code.or.Value","OSD030cj.Value.Description","OSD030cj.Count","OSD030cj.Cumulative","OSD030cj.Skip.to.Item"
"48","48",1,1,NA
"85","85 or older",0,1,NA
"77777","Refused",0,1,NA
"99999","Don't know",0,1,NA
".","Missing",4978,4979,NA
