"WTSBA29.Code.or.Value","WTSBA29.Value.Description","WTSBA29.Count","WTSBA29.Cumulative","WTSBA29.Skip.to.Item"
"0 to 348899.35693","Range of Values",946,946,NA
".","Missing",65,1011,NA
