"WTSPH39.Code.or.Value","WTSPH39.Value.Description","WTSPH39.Count","WTSPH39.Cumulative","WTSPH39.Skip.to.Item"
"0 to 787513.41575","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
