"LBXVE3MS.Code.or.Value","LBXVE3MS.Value.Description","LBXVE3MS.Count","LBXVE3MS.Cumulative","LBXVE3MS.Skip.to.Item"
"1.16 to 37.7","Range of Values",7402,7402,NA
".","Missing",964,8366,NA
