"WTSPH2YR.Code.or.Value","WTSPH2YR.Value.Description","WTSPH2YR.Count","WTSPH2YR.Cumulative","WTSPH2YR.Skip.to.Item"
"0 to 604129.28044","Range of Values",2901,2901,NA
".","Missing",0,2901,NA
