"OPDUD125.Code.or.Value","OPDUD125.Value.Description","OPDUD125.Count","OPDUD125.Cumulative","OPDUD125.Skip.to.Item"
"0","No",2882,2882,NA
"1","Yes",315,3197,NA
".","Missing",666,3863,NA
