"LBDHCTLC.Code.or.Value","LBDHCTLC.Value.Description","LBDHCTLC.Count","LBDHCTLC.Cumulative","LBDHCTLC.Skip.to.Item"
"0","At or above detection limit",3292,3292,NA
"1","Below lower detection limit",3809,7101,NA
".","Missing",835,7936,NA
