"BMXLEG.Code.or.Value","BMXLEG.Value.Description","BMXLEG.Count","BMXLEG.Cumulative","BMXLEG.Skip.to.Item"
"24.8 to 55","Range of Values",6703,6703,NA
".","Missing",2001,8704,NA
