"RIDAGEMN.Code.or.Value","RIDAGEMN.Value.Description","RIDAGEMN.Count","RIDAGEMN.Cumulative","RIDAGEMN.Skip.to.Item"
"0 to 24","Range of Values",597,597,NA
".","Missing",8657,9254,NA
