"PAD080.Code.or.Value","PAD080.Value.Description","PAD080.Count","PAD080.Cumulative","PAD080.Skip.to.Item"
"1 to 600","Range of Values",2363,2363,NA
"77777","Refused",0,2363,NA
"99999","Don't know",0,2363,NA
".","Missing",7061,9424,NA
