"LBXACY.Code.or.Value","LBXACY.Value.Description","LBXACY.Count","LBXACY.Cumulative","LBXACY.Skip.to.Item"
"0.22 to 14.21","Range of Values",7250,7250,NA
"0.14","Fill Value of Limit of Detection",18,7268,NA
".","Missing",714,7982,NA
