"OHXRRES.Code.or.Value","OHXRRES.Value.Description","OHXRRES.Count","OHXRRES.Cumulative","OHXRRES.Skip.to.Item"
"1","Root restoration detected",233,233,NA
"2","Root restoration not detected",4682,4915,NA
"9","Cannot be accessed",1,4916,NA
".","Missing",3450,8366,NA
