"OPDSMACH.Code.or.Value","OPDSMACH.Value.Description","OPDSMACH.Count","OPDSMACH.Cumulative","OPDSMACH.Skip.to.Item"
"0","No",3142,3142,NA
"1","Questionable",9,3151,NA
"2","Yes",2,3153,NA
".","Missing",710,3863,NA
