"ENXTR4Q.Code.or.Value","ENXTR4Q.Value.Description","ENXTR4Q.Count","ENXTR4Q.Cumulative","ENXTR4Q.Skip.to.Item"
"5 to 192","Range of Values",127,127,NA
".","Missing",7368,7495,NA
