"URXUNI.Code.or.Value","URXUNI.Value.Description","URXUNI.Count","URXUNI.Cumulative","URXUNI.Skip.to.Item"
"0.22 to 64.12","Range of Values",2791,2791,NA
".","Missing",188,2979,NA
