"WBXP085.Code.or.Value","WBXP085.Value.Description","WBXP085.Count","WBXP085.Cumulative","WBXP085.Skip.to.Item"
"-176.4705 to 174.5625","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
