"PSQ300.Code.or.Value","PSQ300.Value.Description","PSQ300.Count","PSQ300.Cumulative","PSQ300.Skip.to.Item"
"1","English",23,23,NA
"2","Spanish",1,24,NA
"3","English and Spanish",0,24,NA
"4","Other",0,24,NA
".","Missing",28,52,NA
